CABra dataset - Streamflow attributes

q is the daily streamflow. 
q_mean, q_1, q_5, q_95, and q_99 are long-term mean of q, 1st quantile of q (very-low flow), 5th quantile of q (low flow), 95th quantile of q (hig-flow), and 99th quantile of q (very-high flow), respectively.
q_lf, q_ld, q_hf, and q_hd are the frequency and duration of low flow and high flow events, respectively. q_zero is the frequency of zero flow. q_hfd is the half-flow day.
q_cv, q_lcv, and q_hcv are the coefficient of variation of mean flow, low flow, and high flow, respectively.
q_elasticity, fdc_slope, baseflow_index, and runoff_coef are the streamflow elasticity, slope of the flow duration curve, the baseflow index, and the runoff coefficient of the catchment, respectively.
 
  CABra ID	     ANA ID	   q_mean	      q_1	      q_5	     q_95	     q_99	       q_lf	     q_ld	        q_hf	     q_hd	    q_hfd	      q_zero	     q_cv	    q_lcv	    q_hcv	    q_elasticity	       fdc_slope	  baseflow_index	     runoff_coef
          	           	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 days year¯¹	     days	 days year¯¹	     days	      DOY	 days year¯¹	         	         	         	                	                	                	                
       304	   57420000	     3.20	     0.46	     0.61	    11.11	    23.21	           0	        2	          12	        2	      111	           0	     0.28	     0.19	     0.36	            0.68	           -2.47	           85.85	            0.79
       305	   57450000	     1.71	     0.38	     0.47	     4.99	     9.94	           0	        0	           4	        2	      127	           0	     0.32	     0.21	     0.49	            0.86	           -1.85	           86.64	            0.43
       306	   57490000	     1.32	     0.21	     0.33	     4.02	     7.37	           1	        3	           3	        2	      133	           0	     0.33	     0.44	     0.36	            0.78	           -1.92	           86.76	            0.34
       307	   57550000	     1.36	     0.29	     0.38	     3.92	     7.33	           0	        0	           2	        2	      136	           0	     0.32	     0.26	     0.32	            0.72	           -1.75	           86.18	            0.33
       308	   57580000	     1.41	     0.30	     0.37	     4.17	     6.92	           0	        0	           1	        2	      129	           0	     0.32	     0.24	     0.24	            0.96	           -2.02	           87.61	            0.35
       309	   57700000	     1.35	     0.36	     0.46	     3.78	     7.08	           0	        9	           3	        2	      132	           0	     0.35	     0.25	     0.46	            0.81	           -1.70	           89.00	            0.35
       310	   57720000	     2.06	     0.39	     0.49	     6.22	    12.49	           0	        0	           5	        2	      128	           0	     0.32	     0.22	     0.53	            0.28	           -2.13	           85.35	            0.51
       311	   57740000	     2.23	     0.53	     0.72	     6.74	    11.70	           0	        2	           3	        2	      133	           0	     0.31	     0.38	     0.36	            0.09	           -1.52	           85.66	            0.54
       312	   57770000	     1.27	     0.19	     0.32	     3.72	     9.24	           3	        9	           6	        2	      136	           0	     0.41	     0.44	     0.54	           -0.39	           -1.87	           87.30	            0.29
       313	   57830000	     1.45	     0.31	     0.41	     4.17	     8.09	           0	        0	           3	        2	      131	           0	     0.35	     0.22	     0.47	            0.32	           -1.82	           86.36	            0.35
       314	   57930000	     1.40	     0.34	     0.41	     4.08	     6.76	           0	        0	           2	        2	      132	           0	     0.37	     0.20	     0.46	            0.34	           -1.86	           87.41	            0.34
       315	   58030000	     1.51	     0.61	     0.70	     3.36	     5.07	           0	        0	           0	        0	      158	           0	     0.21	     0.16	     0.22	           -0.12	           -1.14	           90.32	            0.34
       316	   58060000	     2.59	     0.89	     1.10	     5.57	     9.63	           0	        0	           1	        1	      158	           0	     0.23	     0.19	     1.19	            0.10	           -1.31	           90.18	            0.41
       317	   58099000	     1.40	     0.60	     0.65	     2.54	     2.91	           0	        0	           0	        0	      203	           0	     0.25	     0.14	     0.23	           -0.37	           -1.96	           90.41	            0.30
       318	   58142200	     1.97	     0.67	     0.83	     4.49	     6.69	           0	        0	           0	        0	      158	           0	     0.23	     0.25	     0.24	            0.16	           -1.25	           87.93	            0.44
       319	   58183000	     1.42	     0.64	     0.74	     2.50	     3.71	           0	        0	           0	        0	      176	           0	     0.22	     0.20	     0.32	           -0.17	           -0.82	           89.76	            0.32
       320	   58204000	     1.42	     0.56	     0.74	     2.50	     3.70	           0	        0	           0	        0	      175	           0	     0.21	     0.22	     0.30	            0.14	           -0.75	           89.35	            0.32
       321	   58220000	     1.35	     0.46	     0.56	     3.19	     6.24	           0	        0	           1	        1	      156	           0	     0.25	     0.20	     0.36	            0.49	           -1.24	           88.97	            0.30
       322	   58258000	     3.29	     0.57	     0.92	     8.24	    14.75	           1	        3	           3	        1	      145	           0	     0.24	     0.29	     0.72	            0.20	           -1.69	           85.02	            0.56
       323	   58270000	     1.88	     0.51	     0.71	     4.39	     8.49	           0	        2	           1	        1	      157	           0	     0.26	     0.34	     0.34	            0.04	           -1.26	           88.24	            0.41
       324	   58380001	     0.70	     0.23	     0.28	     1.98	     2.81	           0	        0	           0	        1	      153	           0	     0.34	     0.22	     0.30	           -0.02	           -1.24	           85.50	            0.15
       325	   58405000	     2.45	     0.51	     0.65	     6.26	    12.26	           0	        3	           2	        1	      142	           0	     0.20	     0.21	     0.30	            0.03	           -2.04	           86.95	            0.49
       326	   58420000	     1.97	     0.62	     0.75	     4.70	     9.97	           0	        0	           2	        1	      142	           0	     0.19	     0.17	     0.40	            0.00	           -1.44	           88.73	            0.37
       327	   58425000	     1.79	     0.53	     0.64	     4.36	     7.33	           0	        0	           1	        1	      141	           0	     0.19	     0.20	     0.43	           -0.01	           -1.67	           87.76	            0.33
       328	   58434000	     1.25	     0.43	     0.54	     2.87	     5.70	           0	        0	           1	        1	      144	           0	     0.21	     0.29	     0.49	           -0.08	           -1.13	           89.70	            0.29
       329	   58440000	     1.57	     0.25	     0.33	     4.41	     8.39	           1	        2	           2	        1	      137	           0	     0.25	     0.26	     0.37	           -0.06	           -2.15	           80.37	            0.32
       330	   58470000	     1.78	     0.33	     0.70	     3.23	     4.75	           4	        4	           0	        1	      179	           0	     0.24	     0.55	     0.48	            0.07	           -1.28	           91.37	            0.39
       331	   58480500	     1.87	     0.76	     0.86	     4.15	     7.32	           0	        0	           0	        1	      151	           0	     0.22	     0.23	     0.38	            0.12	           -1.01	           89.13	            0.41
       332	   58500000	     1.96	     0.73	     0.87	     4.22	     9.56	           0	        0	           2	        1	      152	           0	     0.38	     0.18	     0.88	            0.05	           -1.06	           89.71	            0.44
       333	   58516500	     1.82	     0.57	     0.73	     4.33	     7.02	           0	        0	           0	        1	      150	           0	     0.27	     0.20	     0.37	            0.26	           -1.52	           89.34	            0.40
       334	   58520000	     1.71	     0.60	     0.74	     3.98	     6.19	           0	        0	           0	        0	      150	           0	     0.25	     0.19	     0.28	            0.17	           -1.26	           88.13	            0.37
       335	   58525000	     5.05	     1.16	     1.34	    12.88	    21.55	           0	        0	           1	        2	      146	           0	     0.23	     0.14	     0.73	            0.21	           -2.57	           89.17	            0.82
       336	   58530000	     3.88	     1.07	     1.22	     9.42	    14.99	           0	        0	           0	        1	      151	           0	     0.19	     0.17	     0.44	            0.12	           -2.01	           90.00	            0.58
       337	   58535000	     3.91	     0.90	     1.13	     9.60	    15.33	           0	        0	           1	        1	      149	           0	     0.18	     0.26	     0.34	            0.12	           -2.00	           88.85	            0.58
       338	   58542000	     3.03	     0.65	     0.85	     7.41	    11.40	           1	        3	           0	        1	      145	           0	     0.20	     0.41	     0.26	            0.31	           -2.14	           86.92	            0.61
       339	   58550001	     2.61	     0.78	     0.93	     6.26	    10.05	           0	        0	           0	        1	      152	           0	     0.20	     0.13	     0.35	            0.19	           -1.81	           89.31	            0.47
       340	   58560000	     1.46	     0.27	     0.40	     4.33	     8.43	           1	       10	           3	        1	      140	           0	     0.27	     0.45	     0.32	            0.16	           -1.67	           85.52	            0.32
       341	   58573000	     1.60	     0.40	     0.57	     3.85	     8.19	           0	        3	           1	        1	      148	           0	     0.25	     0.35	     0.47	            0.18	           -1.42	           86.99	            0.33
       342	   58585000	     2.25	     0.61	     0.79	     5.55	     8.99	           0	        0	           0	        1	      151	           0	     0.23	     0.22	     0.30	            0.18	           -1.75	           88.47	            0.44
       343	   58610000	     1.53	     0.41	     0.55	     3.70	     6.56	           0	        0	           0	        1	      148	           0	     0.31	     0.29	     0.32	            0.13	           -1.45	           90.07	            0.33
       344	   58630002	     1.14	     0.45	     0.52	     2.71	     3.84	           0	        0	           0	        0	      152	           0	     0.22	     0.11	     0.27	            0.15	           -1.30	           88.61	            0.25
       345	   58645000	     1.95	     0.51	     0.63	     4.63	     8.87	           0	        1	           1	        1	      146	           0	     0.27	     0.31	     0.46	            0.00	           -1.56	           88.38	            0.36
       346	   58658000	     1.68	     0.40	     0.49	     3.74	     9.58	           0	        0	           3	        2	      135	           0	     0.38	     0.31	     0.87	            0.31	           -1.43	           89.15	            0.42
       347	   58670002	     0.98	     0.29	     0.36	     2.21	     7.88	           0	        0	           5	        2	      134	           0	     0.50	     0.25	     0.82	            0.15	           -1.24	           89.17	            0.25
       348	   58710000	     1.87	     0.58	     0.76	     4.46	     8.60	           0	        0	           1	        2	      147	           0	     0.27	     0.27	     0.46	            0.12	           -1.33	           88.57	            0.41
       349	   58720000	     2.46	     0.76	     0.91	     6.84	    14.39	           0	        0	           3	        2	      138	           0	     0.26	     0.19	     0.43	            0.20	           -1.22	           89.52	            0.54
       350	   58730001	     1.82	     0.64	     0.76	     4.47	     8.21	           0	        0	           1	        2	      144	           0	     0.24	     0.20	     0.36	            0.29	           -1.22	           88.57	            0.40
       351	   58735000	     1.52	     0.47	     0.62	     3.71	     6.85	           0	        0	           1	        2	      145	           0	     0.25	     0.18	     0.42	           -0.08	           -1.33	           87.84	            0.35
       352	   58755000	     1.91	     0.45	     0.75	     4.41	     7.85	           0	        1	           0	        2	      151	           0	     0.26	     0.40	     0.42	            0.07	           -0.97	           88.26	            0.41
       353	   58765001	     1.58	     0.06	     0.33	     4.43	     8.25	          10	        2	           2	        2	      140	           0	     0.35	     0.98	     0.39	           -0.00	           -1.91	           77.20	            0.35
       354	   58770000	     1.37	     0.36	     0.49	     3.63	     6.54	           0	        0	           1	        2	      141	           0	     0.30	     0.26	     0.36	            0.07	           -1.59	           84.38	            0.32
       355	   58795000	     1.15	     0.37	     0.44	     2.77	     4.01	           0	        0	           0	        2	      149	           0	     0.24	     0.23	     0.35	            0.01	           -1.31	           87.44	            0.26
       356	   58825000	     3.15	     0.88	     1.00	     7.92	    16.44	           0	        0	           2	        2	      138	           0	     0.19	     0.16	     0.64	           -0.23	           -1.93	           87.95	            0.59
       357	   58827000	     2.36	     0.71	     0.83	     5.75	    10.25	           0	        0	           1	        2	      140	           0	     0.18	     0.21	     0.36	           -0.06	           -1.62	           87.87	            0.42
       358	   58850000	     1.51	     0.35	     0.49	     3.86	     7.03	           0	        0	           1	        2	      139	           0	     0.27	     0.22	     0.46	           -0.06	           -1.78	           88.87	            0.27
       359	   58870000	     0.82	     0.27	     0.31	     2.24	     4.24	           0	        0	           2	        2	      136	           0	     0.34	     0.24	     0.50	           -0.25	           -1.47	           89.02	            0.22
       360	   58874000	     1.21	     0.32	     0.39	     3.22	     5.57	           0	        0	           2	        2	      137	           0	     0.30	     0.20	     1.07	           -0.18	           -1.70	           88.57	            0.29
       361	   58910000	     1.89	     0.46	     0.59	     5.44	     9.16	           0	        0	           1	        2	      139	           0	     0.30	     0.21	     0.29	            0.07	           -1.71	           87.46	            0.43
       362	   58916000	     2.25	     0.58	     0.69	     6.84	    10.66	           0	        0	           1	        2	      131	           0	     0.27	     0.13	     0.24	            0.21	           -1.89	           87.45	            0.54
       363	   58917000	     2.03	     0.42	     0.57	     5.66	     9.38	           0	        0	           1	        2	      132	           0	     0.29	     0.19	     0.40	            0.13	           -2.03	           87.15	            0.48
       364	   58920000	     1.53	     0.29	     0.40	     4.46	     8.13	           1	        3	           3	        2	      132	           0	     0.33	     0.35	     0.49	            0.26	           -2.05	           83.48	            0.36
       365	   58930000	     1.47	     0.17	     0.34	     4.23	     8.20	           5	       27	           3	        2	      132	           0	     0.37	     0.31	     0.59	            0.11	           -2.07	           87.83	            0.39
       366	   58940000	     1.23	     0.18	     0.27	     3.59	     6.73	           2	        3	           3	        2	      132	           0	     0.39	     0.44	     0.36	            0.33	           -2.19	           84.30	            0.30
       367	   58960000	     1.15	     0.17	     0.26	     3.50	     6.14	           1	        2	           3	        2	      130	           0	     0.38	     0.35	     0.34	            0.26	           -2.26	           85.55	            0.29
       368	   58974000	     1.13	     0.34	     0.42	     2.77	     4.36	           0	        0	           0	        2	      145	           0	     0.27	     0.20	     0.41	            0.04	           -1.53	           88.98	            0.26
       369	   59120000	     4.04	     1.03	     1.26	    10.14	    20.81	           0	        0	           3	        1	      144	           0	     0.20	     0.22	     0.57	            0.02	           -1.79	           88.91	            0.63
       370	   59125000	     3.53	     0.99	     1.20	     8.15	    15.99	           0	        0	           1	        1	      149	           0	     0.21	     0.18	     0.53	            0.04	           -1.67	           90.57	            0.55
       371	   59135000	     3.79	     1.11	     1.36	     8.04	    11.70	           0	        0	           0	        1	      151	           0	     0.17	     0.22	     0.34	            0.04	           -1.66	           89.92	            0.59
       372	   59240000	     3.06	     0.57	     0.82	     8.03	    16.76	           1	        3	           2	        1	      144	           0	     0.24	     0.34	     0.43	            0.31	           -1.79	           84.61	            0.49
       373	   59355000	     2.99	     0.97	     1.15	     6.74	    13.27	           0	        0	           1	        1	      155	           0	     0.17	     0.17	     0.47	           -0.11	           -1.49	           90.08	            0.62
       374	   59370000	     3.10	     0.99	     1.31	     6.45	    11.62	           0	        0	           1	        1	      153	           0	     0.18	     0.20	     0.55	           -0.04	           -1.37	           89.79	            0.44
       375	   59380000	     3.16	     0.69	     0.84	     7.50	    14.35	           0	        2	           1	        1	      143	           0	     0.25	     0.27	     0.45	            0.27	           -1.85	           86.93	            0.33
       376	   60010000	     1.51	     0.26	     0.34	     4.51	     7.35	           1	       16	           1	        2	      148	           0	     0.32	     0.26	     0.26	            0.05	           -2.31	           89.97	            0.37
       377	   60011000	     1.46	     0.23	     0.31	     4.19	     7.35	           0	        2	           2	        2	      148	           0	     0.34	     0.25	     0.43	            0.20	           -2.42	           89.88	            0.36
       378	   60040000	     1.45	     0.24	     0.33	     3.84	     6.02	           1	        5	           0	        0	      151	           0	     0.34	     0.35	     0.39	            0.05	           -2.28	           90.85	            0.36
       379	   60100000	     1.70	     0.24	     0.38	     4.40	    11.35	           3	        8	           4	        2	      145	           0	     0.36	     0.50	     0.46	            0.26	           -1.79	           89.38	            0.42
       380	   60110000	     1.27	     0.18	     0.28	     3.49	     6.82	           4	       10	           2	        2	      143	           0	     0.31	     0.38	     0.40	            0.18	           -2.20	           88.38	            0.33
       381	   60130000	     1.43	     0.26	     0.39	     3.36	     6.05	           1	        3	           0	        1	      157	           0	     0.33	     0.55	     0.38	            0.02	           -1.51	           88.82	            0.36
       382	   60145000	     1.71	     0.49	     0.65	     3.84	     6.67	           0	        4	           0	        1	      155	           0	     0.28	     0.41	     0.63	            0.05	           -1.26	           88.68	            0.43
       383	   60150000	     1.44	     0.29	     0.47	     3.34	     5.56	           1	        3	           1	        1	      151	           0	     0.27	     0.46	     0.51	            0.33	           -1.38	           88.84	            0.36
       384	   60220000	     2.33	     0.59	     0.72	     5.99	    13.96	           0	        0	           4	        2	      139	           0	     0.26	     0.21	     0.66	            0.06	           -1.71	           89.14	            0.50
       385	   60250000	     2.02	     0.77	     0.83	     4.69	     8.61	           0	        0	           1	        2	      153	           0	     0.27	     0.17	     0.37	            0.14	           -1.44	           91.67	            0.48
       386	   60265000	     1.77	     0.59	     0.68	     4.18	     7.33	           0	        0	           1	        2	      151	           0	     0.25	     0.22	     0.40	            0.11	           -1.53	           90.98	            0.42
       387	   60381000	     1.44	     0.34	     0.45	     3.51	     5.41	           0	        1	           0	        2	      149	           0	     0.21	     0.34	     0.37	            0.05	           -1.64	           84.80	            0.37
       388	   60432000	     2.38	     0.57	     0.73	     6.30	     9.38	           0	        0	           0	        2	      149	           0	     0.31	     0.34	     0.41	            0.02	           -1.67	           88.74	            0.54
       389	   60615000	     1.48	     0.41	     0.56	     3.06	     5.69	           0	        1	           0	        2	      150	           0	     0.20	     0.33	     0.45	            0.08	           -1.15	           87.77	            0.37
       390	   60635000	     1.21	     0.23	     0.34	     3.08	     4.81	           1	        8	           0	        2	      152	           0	     0.28	     0.36	     0.25	            0.27	           -1.71	           88.30	            0.29
       391	   60640000	     1.12	     0.18	     0.29	     2.83	     3.96	           3	        7	           0	        0	      153	           0	     0.27	     0.46	     0.29	            0.20	           -1.98	           87.03	            0.27
       392	   60642000	     1.16	     0.23	     0.36	     2.66	     3.61	           1	        5	           0	        0	      157	           0	     0.27	     0.45	     0.26	           -0.02	           -1.58	           88.87	            0.27
       393	   60650000	     1.31	     0.24	     0.40	     3.09	     5.31	           2	        9	           0	        2	      155	           0	     0.25	     0.38	     0.36	            0.14	           -1.81	           87.42	            0.31
       394	   60653000	     1.64	     0.28	     0.46	     3.51	     5.53	           4	        6	           1	        1	      166	           0	     0.30	     0.58	     0.77	           -0.01	           -1.66	           90.27	            0.38
       395	   60654000	     1.22	     0.25	     0.39	     2.88	     4.10	           1	        8	           0	        0	      164	           0	     0.27	     0.36	     0.22	            0.00	           -1.77	           90.16	            0.29
       396	   60665000	     1.37	     0.25	     0.32	     3.78	     7.39	           0	       12	           2	        2	      159	           0	     0.30	     0.27	     0.36	           -0.22	           -2.08	           89.99	            0.32
       397	   60680000	     1.20	     0.22	     0.32	     2.88	     4.13	           2	        6	           0	        2	      159	           0	     0.26	     0.40	     0.44	            0.10	           -2.05	           89.47	            0.29
       398	   60715000	     1.08	     0.16	     0.27	     2.80	     5.02	           4	       20	           1	        2	      156	           0	     0.25	     0.40	     0.39	            0.32	           -1.96	           88.27	            0.27
       399	   60750000	     1.04	     0.14	     0.21	     3.02	     4.53	           3	        9	           1	        2	      156	           0	     0.33	     0.44	     0.40	            0.40	           -2.42	           88.76	            0.26
       400	   60765000	     0.98	     0.16	     0.22	     2.58	     3.59	           2	        9	           0	        2	      155	           0	     0.31	     0.38	     0.38	            0.20	           -2.46	           89.92	            0.25
       401	   60772000	     1.01	     0.16	     0.25	     2.51	     3.29	           3	       16	           0	        0	      157	           0	     0.24	     0.34	     0.26	            0.16	           -2.51	           90.31	            0.25
       402	   60774000	     1.95	     0.59	     0.77	     4.25	     7.27	           0	        0	           0	        2	      161	           0	     0.23	     0.21	     0.74	           -0.01	           -1.54	           91.20	            0.43
       403	   60778000	     1.74	     0.64	     0.79	     3.60	     5.27	           0	        0	           0	        2	      162	           0	     0.20	     0.19	     0.51	            0.11	           -1.22	           91.82	            0.38
       404	   60781000	     1.62	     0.55	     0.68	     3.56	     5.38	           0	        0	           0	        0	      161	           0	     0.23	     0.20	     0.37	            0.03	           -1.40	           90.99	            0.38
       405	   60785005	     1.68	     0.74	     0.87	     3.32	     4.32	           0	        0	           0	        0	      162	           0	     0.18	     0.18	     0.36	            0.22	           -1.09	           91.41	            0.38
       406	   60790000	     1.54	     0.53	     0.63	     3.39	     4.81	           0	        0	           0	        0	      160	           0	     0.22	     0.19	     0.35	            0.02	           -1.38	           90.73	            0.37
       407	   60798000	     1.50	     0.48	     0.60	     3.38	     4.71	           0	        0	           0	        0	      160	           0	     0.22	     0.24	     0.35	           -0.12	           -1.41	           90.76	            0.36
       408	   60810000	     1.33	     0.25	     0.41	     2.91	     4.19	           2	        5	           0	        1	      167	           0	     0.28	     0.44	     0.44	           -0.27	           -1.55	           90.62	            0.32
       409	   60845000	     1.38	     0.34	     0.46	     3.28	     5.07	           0	        0	           0	        1	      150	           0	     0.22	     0.25	     0.24	           -0.35	           -1.75	           87.51	            0.34
       410	   60850000	     1.46	     0.31	     0.39	     3.95	     7.36	           0	        0	           1	        2	      149	           0	     0.25	     0.30	     0.37	           -0.11	           -1.92	           88.26	            0.35
       411	   60855000	     1.28	     0.25	     0.34	     3.63	     6.63	           0	        7	           2	        2	      149	           0	     0.26	     0.30	     0.40	           -0.31	           -1.91	           88.25	            0.32
       412	   60870000	     1.43	     0.45	     0.58	     3.30	     5.44	           0	        0	           0	        2	      155	           0	     0.23	     0.20	     0.34	           -0.13	           -1.43	           88.69	            0.33
       413	   60895000	     1.80	     0.78	     0.92	     3.37	     4.52	           0	        0	           0	        0	      166	           0	     0.19	     0.28	     0.32	            0.09	           -1.06	           91.86	            0.42
       414	   60910000	     1.78	     0.58	     0.69	     4.11	     7.44	           0	        0	           1	        2	      156	           0	     0.17	     0.17	     0.50	            0.20	           -1.40	           88.99	            0.41
       415	   60925001	     0.78	     0.12	     0.17	     2.27	     4.44	           2	       13	           3	        3	      147	           0	     0.33	     0.42	     0.53	           -0.10	           -1.93	           87.83	            0.20
       416	   60930000	     1.63	     0.95	     1.07	     2.54	     3.07	           0	        0	           0	        0	      166	           0	     0.09	     0.10	     0.18	           -0.05	           -0.78	           93.49	            0.35
       417	   60940000	     1.70	     1.10	     1.20	     2.50	     2.87	           0	        0	           0	        0	      169	           0	     0.06	     0.08	     0.13	           -0.04	           -0.64	           95.95	            0.38
       418	   60950000	     1.50	     0.82	     0.94	     2.50	     3.17	           0	        0	           0	        0	      166	           0	     0.09	     0.16	     0.18	           -0.02	           -0.84	           93.23	            0.35
