CABra dataset - Soil attributes
 
soil_type is the most common taxonomy of soil.
soil_textclass is the textural class of soil based on the USDA textural classification.
soil_sand, soil_sand and soil_clay are the fraction of sand, silt and clay in the soil, respectively.
soil_carbon is the fraction of organic carbon in the soil.
soil_bulk and soil_depth are the bulk density and depth to the bedrock, respectively.
 
  CABra ID	     ANA ID	                 soil_type	  soil_textclass	  soil_sand	  soil_silt	  soil_clay	 soil_carbon	  soil_bulk	 soil_depth
          	           	                          	                	          %	          %	          %	          ‰	     g cm¯³	          m
       223	   51430000	          Haplic Ferrasols	 SANDY CLAY LOAM	     60.270	     15.676	     24.060	     14.050	      1.401	     26.564
       224	   51440000	          Haplic Ferrasols	 SANDY CLAY LOAM	     60.801	     16.528	     22.676	     13.185	      1.417	     25.531
       225	   51560000	          Haplic Ferrasols	 SANDY CLAY LOAM	     54.408	     19.318	     26.333	     22.571	      1.376	     31.646
       226	   51795000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.836	     22.181	     30.954	     36.429	      1.331	     25.222
       227	   54010005	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.002	     17.092	     30.919	     19.847	      1.325	     27.459
       228	   54110002	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.793	     16.935	     29.300	      7.583	      1.371	     27.001
       229	   54150000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.288	     17.157	     30.577	     15.666	      1.342	     26.212
       230	   54165000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.549	     17.163	     30.308	      8.104	      1.366	     25.988
       231	   54195000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.986	     17.433	     30.600	     13.167	      1.349	     26.021
       232	   54230000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.637	     16.698	     34.652	     19.619	      1.327	     25.498
       233	   54260000	          Haplic Ferrasols	      SANDY CLAY	     47.811	     16.759	     35.414	     18.403	      1.322	     25.388
       234	   54300000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.701	     15.985	     34.313	     10.447	      1.339	     26.176
       235	   54390000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.575	     16.846	     34.576	     15.441	      1.332	     25.178
       236	   54500000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.131	     16.950	     33.916	     15.266	      1.334	     24.744
       237	   54580000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.057	     17.274	     31.679	     13.628	      1.344	     25.397
       238	   54590000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.414	     14.733	     33.844	     21.056	      1.318	     21.241
       239	   54710000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.171	     17.127	     31.711	     14.104	      1.343	     24.956
       240	   54770000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.931	     15.953	     33.099	     18.506	      1.319	     22.790
       241	   54780000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.064	     16.920	     32.021	     15.489	      1.337	     24.608
       242	   54950000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.196	     16.914	     31.894	     15.703	      1.337	     24.694
       243	   55340000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.127	     16.451	     32.432	     26.552	      1.299	     20.569
       244	   55360000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.219	     15.351	     31.437	     28.739	      1.318	     21.603
       245	   55370000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.662	     16.163	     31.179	     26.911	      1.328	     22.291
       246	   55380000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.663	     16.247	     31.093	     26.617	      1.330	     22.278
       247	   55460000	          Haplic Ferrasols	 SANDY CLAY LOAM	     54.634	     15.149	     30.243	     15.146	      1.349	     19.126
       248	   55490000	          Haplic Ferrasols	 SANDY CLAY LOAM	     54.848	     15.209	     29.963	     16.030	      1.353	     20.562
       249	   55510000	          Haplic Ferrasols	 SANDY CLAY LOAM	     54.786	     16.015	     29.202	     23.466	      1.364	     24.146
       250	   55520001	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.276	     16.266	     34.457	     24.816	      1.304	     19.962
       251	   55560000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.608	     16.212	     34.175	     25.280	      1.305	     19.778
       252	   55610000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.247	     16.002	     33.737	     17.753	      1.337	     19.180
       253	   55630000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.206	     16.064	     33.728	     20.504	      1.322	     19.530
       254	   55660000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.271	     16.214	     32.519	     16.959	      1.340	     19.430
       255	   55699998	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.025	     15.909	     33.070	     17.978	      1.333	     19.708
       256	   55790000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.098	     15.312	     31.601	     18.404	      1.344	     19.066
       257	   55850000	          Haplic Ferrasols	 SANDY CLAY LOAM	     54.087	     14.676	     31.253	     11.277	      1.357	     20.339
       258	   55900000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.017	     14.777	     33.219	     21.872	      1.329	     24.221
       259	   55920000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.282	     14.612	     32.117	     15.483	      1.339	     22.196
       260	   55960000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.864	     14.686	     31.465	     13.011	      1.351	     21.439
       261	   56028000	          Haplic Ferrasols	      SANDY CLAY	     46.462	     16.785	     36.825	     24.124	      1.321	     22.023
       262	   56055000	          Haplic Ferrasols	      SANDY CLAY	     46.442	     16.416	     37.124	     20.894	      1.325	     21.842
       263	   56065000	          Haplic Ferrasols	      SANDY CLAY	     46.258	     16.151	     37.534	     21.123	      1.316	     21.472
       264	   56075000	          Haplic Ferrasols	      SANDY CLAY	     46.369	     16.644	     37.003	     22.727	      1.322	     22.030
       265	   56085000	          Haplic Ferrasols	      SANDY CLAY	     46.675	     16.398	     36.936	     14.977	      1.356	     20.913
       266	   56090000	          Haplic Ferrasols	      SANDY CLAY	     45.581	     16.477	     37.925	     20.781	      1.336	     21.700
       267	   56240000	          Haplic Ferrasols	      SANDY CLAY	     46.416	     18.056	     35.538	     38.607	      1.271	     23.019
       268	   56335001	          Haplic Ferrasols	      SANDY CLAY	     46.326	     18.008	     35.680	     37.482	      1.277	     23.039
       269	   56385000	          Haplic Ferrasols	      SANDY CLAY	     47.603	     17.182	     35.215	     17.682	      1.330	     21.589
       270	   56415000	          Haplic Ferrasols	      SANDY CLAY	     47.839	     16.954	     35.199	     18.542	      1.345	     22.069
       271	   56484998	          Haplic Ferrasols	      SANDY CLAY	     47.028	     16.796	     36.161	     19.819	      1.333	     22.904
       272	   56539000	          Haplic Ferrasols	      SANDY CLAY	     47.075	     17.042	     35.892	     22.333	      1.329	     22.684
       273	   56570000	          Haplic Ferrasols	      SANDY CLAY	     48.507	     16.272	     35.182	     12.572	      1.359	     23.375
       274	   56610000	          Haplic Ferrasols	      SANDY CLAY	     45.229	     17.344	     37.428	     33.875	      1.286	     23.654
       275	   56640000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.401	     19.174	     33.421	     55.602	      1.220	     23.311
       276	   56775000	          Haplic Ferrasols	      SANDY CLAY	     46.924	     17.175	     35.890	     28.842	      1.309	     25.910
       277	   56800000	          Haplic Ferrasols	       CLAY LOAM	     44.474	     17.708	     37.791	     21.406	      1.287	     25.536
       278	   56825000	          Haplic Ferrasols	      SANDY CLAY	     46.673	     17.332	     35.987	     29.776	      1.305	     24.878
       279	   56845000	          Haplic Ferrasols	      SANDY CLAY	     45.108	     16.946	     37.915	     25.048	      1.306	     24.589
       280	   56846000	          Haplic Ferrasols	      SANDY CLAY	     46.638	     17.091	     36.263	     29.640	      1.311	     24.679
       281	   56850000	          Haplic Ferrasols	      SANDY CLAY	     47.156	     17.199	     35.648	     26.375	      1.316	     23.589
       282	   56860000	          Haplic Ferrasols	       CLAY LOAM	     44.846	     17.556	     37.579	     25.312	      1.306	     24.460
       283	   56870000	          Haplic Ferrasols	      SANDY CLAY	     45.561	     17.667	     36.766	     13.514	      1.338	     21.460
       284	   56891900	          Haplic Ferrasols	      SANDY CLAY	     47.748	     17.150	     35.096	     17.462	      1.334	     22.399
       285	   56920000	          Haplic Ferrasols	      SANDY CLAY	     47.661	     17.171	     35.172	     23.486	      1.322	     23.273
       286	   56940002	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.845	     16.450	     33.702	     19.504	      1.348	     23.579
       287	   56976000	          Haplic Ferrasols	      SANDY CLAY	     46.097	     17.420	     36.490	     24.928	      1.299	     22.683
       288	   56983000	          Haplic Ferrasols	      SANDY CLAY	     45.880	     18.488	     35.650	     32.885	      1.269	     22.489
       289	   56990000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.842	     16.844	     34.334	     20.184	      1.314	     22.770
       290	   56990990	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.625	     15.573	     34.785	     25.158	      1.272	     21.190
       291	   56991500	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.655	     15.744	     34.583	     23.556	      1.281	     21.098
       292	   56992000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.032	     15.802	     34.148	     18.771	      1.294	     21.096
       293	   56993551	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.618	     15.252	     34.113	     22.137	      1.294	     22.189
       294	   56995500	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.559	     14.485	     32.965	     26.097	      1.301	     22.332
       295	   57130000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.947	     16.249	     34.746	     40.559	      1.218	     15.894
       296	   57170000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.593	     16.218	     34.153	     38.222	      1.222	     17.646
       297	   57250000	          Haplic Cambisols	 SANDY CLAY LOAM	     51.072	     16.896	     32.059	     43.758	      1.211	     12.279
       298	   57300000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.221	     16.460	     30.358	     32.493	      1.300	     16.444
       299	   57320000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.760	     16.483	     29.836	     34.987	      1.319	     16.292
       300	   57350000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.183	     16.792	     34.006	     30.577	      1.234	     19.190
       301	   57360000	          Haplic Ferrasols	      SANDY CLAY	     48.714	     15.785	     35.502	     18.777	      1.305	     20.505
       302	   57370000	          Haplic Ferrasols	      SANDY CLAY	     48.674	     16.073	     35.257	     18.903	      1.302	     20.593
       303	   57400000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.412	     16.369	     34.219	     21.369	      1.287	     19.824
       304	   57420000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.618	     20.320	     33.083	     40.961	      1.200	     22.266
       305	   57450000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.917	     16.988	     33.108	     22.556	      1.290	     20.278
       306	   57490000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.130	     17.279	     32.589	     27.088	      1.266	     18.807
       307	   57550000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.609	     17.329	     32.075	     28.674	      1.270	     18.505
       308	   57580000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.201	     17.071	     31.751	     25.155	      1.292	     20.344
       309	   57700000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.774	     18.669	     34.552	     28.669	      1.255	     23.121
       310	   57720000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.258	     18.889	     33.820	     29.438	      1.252	     21.712
       311	   57740000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.374	     18.118	     33.516	     23.861	      1.301	     21.681
       312	   57770000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.833	     16.757	     32.419	     18.779	      1.334	     21.839
       313	   57830000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.766	     17.462	     32.779	     19.701	      1.317	     21.649
       314	   57930000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.756	     17.190	     32.066	     20.267	      1.324	     21.221
       315	   58030000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.306	     17.608	     32.084	     29.217	      1.267	     21.442
       316	   58060000	          Haplic Cambisols	 SANDY CLAY LOAM	     52.497	     16.710	     30.828	     39.065	      1.124	     15.563
       317	   58099000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.343	     17.730	     31.923	     27.012	      1.248	     18.671
       318	   58142200	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.138	     18.715	     32.143	     29.773	      1.248	     17.373
       319	   58183000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.250	     17.963	     31.787	     25.698	      1.266	     19.619
       320	   58204000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.325	     17.943	     31.733	     25.827	      1.271	     20.092
       321	   58220000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.427	     18.197	     32.369	     27.554	      1.274	     20.977
       322	   58258000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.827	     18.324	     30.872	     32.347	      1.229	     17.065
       323	   58270000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.724	     15.460	     31.830	     16.946	      1.327	     19.687
       324	   58380001	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.772	     17.402	     31.835	     24.965	      1.286	     19.739
       325	   58405000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.641	     18.288	     33.063	     41.645	      1.222	     17.359
       326	   58420000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.011	     18.596	     34.347	     36.566	      1.236	     18.048
       327	   58425000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.911	     18.286	     34.747	     34.985	      1.244	     18.380
       328	   58434000	          Haplic Ferrasols	      SANDY CLAY	     47.359	     17.170	     35.466	     31.924	      1.268	     19.436
       329	   58440000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.562	     17.766	     34.640	     34.136	      1.258	     18.546
       330	   58470000	          Haplic Ferrasols	      SANDY CLAY	     46.033	     18.014	     35.915	     23.788	      1.307	     21.359
       331	   58480500	          Haplic Ferrasols	      SANDY CLAY	     46.849	     17.341	     35.749	     20.416	      1.316	     21.593
       332	   58500000	          Haplic Ferrasols	      SANDY CLAY	     46.110	     18.456	     35.457	     29.755	      1.276	     20.882
       333	   58516500	          Haplic Ferrasols	      SANDY CLAY	     46.413	     17.822	     35.766	     27.581	      1.288	     20.917
       334	   58520000	          Haplic Ferrasols	      SANDY CLAY	     46.798	     17.560	     35.620	     24.088	      1.301	     21.037
       335	   58525000	          Haplic Cambisols	 SANDY CLAY LOAM	     45.942	     22.708	     31.342	     58.302	      1.114	     15.541
       336	   58530000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.320	     20.459	     32.209	     44.804	      1.184	     16.643
       337	   58535000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.746	     19.458	     32.774	     40.763	      1.208	     16.783
       338	   58542000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.965	     17.962	     34.049	     31.277	      1.257	     18.265
       339	   58550001	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.209	     17.632	     33.154	     29.444	      1.265	     18.634
       340	   58560000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.601	     15.790	     34.600	     23.620	      1.322	     19.022
       341	   58573000	          Haplic Ferrasols	 SANDY CLAY LOAM	     51.227	     15.645	     33.124	     19.093	      1.343	     19.955
       342	   58585000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.745	     17.137	     33.121	     26.294	      1.293	     19.138
       343	   58610000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.048	     15.913	     34.986	     12.615	      1.363	     20.145
       344	   58630002	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.824	     17.335	     32.840	     25.001	      1.291	     19.750
       345	   58645000	          Haplic Ferrasols	      SANDY CLAY	     46.809	     16.962	     36.233	     30.430	      1.276	     21.124
       346	   58658000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.235	     16.151	     34.599	     13.977	      1.361	     21.007
       347	   58670002	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.794	     16.961	     34.257	     12.803	      1.356	     20.032
       348	   58710000	          Haplic Ferrasols	      SANDY CLAY	     46.815	     16.989	     36.175	     18.948	      1.346	     20.759
       349	   58720000	          Haplic Ferrasols	      SANDY CLAY	     46.088	     17.016	     36.877	     21.991	      1.343	     20.660
       350	   58730001	          Haplic Ferrasols	      SANDY CLAY	     47.373	     16.903	     35.704	     18.272	      1.354	     20.646
       351	   58735000	          Haplic Ferrasols	      SANDY CLAY	     47.918	     16.924	     35.142	     17.078	      1.356	     20.270
       352	   58755000	          Haplic Ferrasols	      SANDY CLAY	     46.166	     17.326	     36.482	     22.101	      1.342	     21.790
       353	   58765001	          Haplic Ferrasols	      SANDY CLAY	     47.656	     17.161	     35.178	     19.165	      1.350	     20.883
       354	   58770000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.472	     17.034	     34.489	     15.729	      1.353	     20.176
       355	   58795000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.654	     17.209	     33.139	     21.912	      1.307	     19.809
       356	   58825000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.742	     18.511	     34.705	     43.624	      1.205	     21.245
       357	   58827000	          Haplic Ferrasols	 SANDY CLAY LOAM	     46.590	     18.687	     34.692	     41.045	      1.225	     21.318
       358	   58850000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.231	     17.860	     34.870	     31.387	      1.266	     21.658
       359	   58870000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.395	     16.879	     34.714	     19.432	      1.320	     20.899
       360	   58874000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.955	     17.454	     34.565	     26.417	      1.290	     21.294
       361	   58910000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.392	     17.383	     34.179	     18.513	      1.340	     21.940
       362	   58916000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.008	     17.418	     34.528	     20.805	      1.304	     21.218
       363	   58917000	          Haplic Ferrasols	 SANDY CLAY LOAM	     48.968	     17.305	     33.704	     17.327	      1.317	     21.452
       364	   58920000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.457	     16.881	     32.665	     13.144	      1.338	     20.279
       365	   58930000	          Haplic Ferrasols	 SANDY CLAY LOAM	     47.852	     17.189	     34.944	     17.482	      1.316	     21.130
       366	   58940000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.213	     17.085	     32.713	     12.633	      1.336	     20.263
       367	   58960000	          Haplic Ferrasols	 SANDY CLAY LOAM	     50.631	     17.159	     32.228	     12.692	      1.339	     20.116
       368	   58974000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.847	     17.203	     32.953	     20.941	      1.312	     20.070
       369	   59120000	          Haplic Cambisols	 SANDY CLAY LOAM	     47.339	     21.122	     31.540	     64.637	      1.157	     14.915
       370	   59125000	          Haplic Cambisols	 SANDY CLAY LOAM	     47.447	     21.012	     31.537	     55.067	      1.172	     15.103
       371	   59135000	          Haplic Cambisols	 SANDY CLAY LOAM	     49.268	     20.530	     30.224	     43.041	      1.155	     15.456
       372	   59240000	          Haplic Ferrasols	 SANDY CLAY LOAM	     53.552	     18.789	     27.648	     42.377	      1.236	     18.061
       373	   59355000	          Haplic Cambisols	 SANDY CLAY LOAM	     49.373	     19.493	     31.067	     48.861	      1.166	     18.440
       374	   59370000	          Haplic Cambisols	 SANDY CLAY LOAM	     51.348	     18.594	     30.090	     45.829	      1.120	     15.026
       375	   59380000	          Haplic Cambisols	 SANDY CLAY LOAM	     50.368	     19.079	     30.514	     56.458	      1.089	     12.587
       376	   60010000	          Haplic Ferrasols	      SANDY CLAY	     46.817	     16.029	     37.134	      8.328	      1.363	     29.607
       377	   60011000	          Haplic Ferrasols	      SANDY CLAY	     46.651	     16.345	     36.983	      7.160	      1.365	     29.158
       378	   60040000	          Haplic Ferrasols	      SANDY CLAY	     46.938	     16.161	     36.892	      5.952	      1.352	     37.738
       379	   60100000	          Haplic Ferrasols	       CLAY LOAM	     44.404	     17.415	     38.186	      8.877	      1.361	     28.096
       380	   60110000	          Haplic Ferrasols	      SANDY CLAY	     47.399	     17.216	     35.371	      4.126	      1.358	     26.997
       381	   60130000	          Haplic Ferrasols	            CLAY	     44.365	     14.960	     40.667	      9.310	      1.352	     29.583
       382	   60145000	          Haplic Ferrasols	            CLAY	     44.914	     14.380	     40.675	      8.942	      1.342	     34.474
       383	   60150000	          Haplic Ferrasols	            CLAY	     44.300	     15.516	     40.155	      9.764	      1.335	     32.845
       384	   60220000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.846	     16.281	     33.871	     11.215	      1.363	     29.320
       385	   60250000	          Haplic Ferrasols	      SANDY CLAY	     48.325	     15.606	     36.038	     11.250	      1.360	     26.193
       386	   60265000	          Haplic Ferrasols	      SANDY CLAY	     47.651	     15.846	     36.476	     10.098	      1.353	     27.785
       387	   60381000	          Haplic Ferrasols	            CLAY	     44.163	     14.709	     41.092	     10.519	      1.330	     40.956
       388	   60432000	          Haplic Ferrasols	      SANDY CLAY	     49.909	     15.060	     35.007	      6.601	      1.343	     40.312
