CABra dataset - Land-cover attributes
 
cover_main is the most common land-cover class in the catchment.
cover_bare, cover_forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban, cover_snow are the fraction of cover of bare soil, forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban area and cover_snow in the catchment.
cover_waterp and cover_waters are the fraction of cover of permanent and seasonal water in the catchment.
ndvi_djf, ndvi_mam, ndvi_jja and ndvi_son are the NDVI values for summer, fall, winter and spring, respectively.
 
  CABra ID	     ANA ID	 cover_main	 cover_bare	  cover_forest	 cover_crops	 cover_grass	 cover_moss	 cover_shrub	 cover_urban	 cover_snow	  cover_waterp	  cover_waters	   ndvi_djf	   ndvi_mam	   ndvi_jja	   ndvi_son
       559	   74370000	      crops	      0.158	        27.755	     54.608	     11.616	      0.000	      5.101	      0.565	      0.000	         0.198	         0.259	      0.712	      0.740	      0.682	      0.586
       560	   74460000	      crops	      0.209	        13.539	     76.774	      5.655	      0.000	      3.381	      0.126	      0.000	         0.316	         0.311	      0.722	      0.765	      0.729	      0.636
       561	   74470000	      crops	      0.163	        19.496	     63.000	     11.239	      0.000	      4.905	      0.861	      0.000	         0.336	         0.315	      0.707	      0.738	      0.690	      0.604
       562	   74700000	      crops	      0.097	        19.714	     62.920	     11.666	      0.000	      4.633	      0.844	      0.000	         0.126	         0.221	      0.709	      0.763	      0.736	      0.660
       563	   74750000	      crops	      0.163	        19.748	     55.191	     13.920	      0.000	      5.541	      5.403	      0.000	         0.034	         0.159	      0.709	      0.734	      0.661	      0.566
       564	   74800000	     forest	      0.125	        48.253	     21.158	     20.891	      0.000	      7.977	      0.742	      0.000	         0.853	         0.364	      0.726	      0.757	      0.657	      0.605
       565	   74880000	      crops	      0.132	        17.748	     60.041	     15.507	      0.000	      5.779	      0.718	      0.000	         0.076	         0.234	      0.730	      0.760	      0.652	      0.602
       566	   74900000	      crops	      0.117	        21.568	     51.357	     19.232	      0.000	      6.845	      0.830	      0.000	         0.051	         0.182	      0.790	      0.826	      0.785	      0.738
       567	   75550000	     forest	      0.139	        43.560	     25.737	     21.180	      0.000	      7.817	      0.736	      0.000	         0.831	         0.380	      0.740	      0.775	      0.695	      0.641
       568	   76310000	      grass	      0.362	        18.735	     15.530	     51.252	      0.000	     12.547	      0.284	      0.000	         1.289	         2.847	      0.739	      0.772	      0.693	      0.641
       569	   77150000	      grass	      0.257	        33.270	     21.878	     33.564	      0.000	      9.467	      0.536	      0.000	         1.026	         1.523	      0.680	      0.722	      0.686	      0.629
       570	   81125000	     forest	      0.088	        79.922	      2.095	     12.887	      0.000	      4.973	      0.032	      0.000	         0.003	         0.011	      0.723	      0.750	      0.666	      0.616
       571	   81140000	     forest	      0.135	        83.036	      0.535	     11.654	      0.000	      4.426	      0.215	      0.000	         0.000	         0.004	      0.724	      0.751	      0.664	      0.610
       572	   81200000	     forest	      0.160	        80.595	      0.870	     13.171	      0.000	      4.842	      0.322	      0.000	         0.040	         0.068	      0.726	      0.765	      0.736	      0.668
       573	   82009080	     forest	      0.013	        92.914	      0.221	      5.415	      0.000	      1.436	      0.001	      0.000	         0.000	         0.002	      0.719	      0.751	      0.675	      0.599
       574	   82170000	     forest	      0.013	        93.393	      0.024	      5.498	      0.000	      0.765	      0.305	      0.000	         0.002	         0.008	      0.706	      0.736	      0.656	      0.577
       575	   82320000	     forest	      0.003	        94.624	      0.005	      4.406	      0.000	      0.890	      0.035	      0.000	         0.038	         0.057	      0.758	      0.807	      0.774	      0.714
       576	   82350000	     forest	      0.154	        85.054	      0.255	      9.084	      0.000	      2.669	      2.761	      0.000	         0.023	         0.088	      0.737	      0.787	      0.861	      0.807
       577	   82770000	     forest	      0.420	        64.792	      3.616	     20.802	      0.000	      6.218	      4.129	      0.000	         0.023	         0.147	      0.720	      0.742	      0.639	      0.577
       578	   83050000	     forest	      0.172	        77.370	      2.904	     14.032	      0.000	      4.525	      0.635	      0.000	         0.362	         0.604	      0.732	      0.767	      0.683	      0.616
       579	   83105000	     forest	      0.130	        75.707	      1.495	     16.827	      0.000	      5.556	      0.285	      0.000	         0.000	         0.013	      0.708	      0.747	      0.674	      0.579
       580	   83250000	     forest	      0.333	        65.021	      6.342	     20.307	      0.000	      7.231	      0.760	      0.000	         0.006	         0.066	      0.708	      0.724	      0.618	      0.518
       581	   83300200	     forest	      0.360	        67.529	      5.286	     18.876	      0.000	      6.661	      1.165	      0.000	         0.122	         0.335	      0.692	      0.735	      0.696	      0.631
       582	   83345000	     forest	      0.110	        79.529	      2.950	     12.657	      0.000	      4.701	      0.046	      0.000	         0.007	         0.072	      0.712	      0.735	      0.619	      0.525
       583	   83440000	     forest	      0.181	        79.924	      2.477	     12.594	      0.000	      4.350	      0.427	      0.000	         0.047	         0.165	      0.703	      0.730	      0.632	      0.543
       584	   83660000	     forest	      0.095	        89.501	      0.862	      6.742	      0.000	      2.290	      0.477	      0.000	         0.034	         0.166	      0.691	      0.715	      0.611	      0.520
       585	   83675000	     forest	      0.071	        87.402	      0.894	      8.132	      0.000	      2.348	      0.449	      0.000	         0.704	         0.291	      0.688	      0.698	      0.566	      0.475
       586	   83690000	     forest	      0.291	        73.804	      3.783	     15.527	      0.000	      5.413	      1.040	      0.000	         0.143	         0.266	      0.707	      0.734	      0.636	      0.553
       587	   83800002	     forest	      0.281	        75.098	      3.249	     14.466	      0.000	      5.021	      1.708	      0.000	         0.177	         0.256	      0.701	      0.725	      0.620	      0.529
       588	   83880000	     forest	      0.104	        86.335	      0.309	     10.109	      0.000	      2.555	      0.574	      0.000	         0.015	         0.072	      0.694	      0.715	      0.604	      0.513
       589	   84071000	     forest	      0.137	        81.804	      0.996	     12.840	      0.000	      3.997	      0.152	      0.000	         0.074	         0.050	      0.752	      0.815	      0.821	      0.757
       590	   84095000	     forest	      0.174	        84.019	      1.810	     10.451	      0.000	      3.217	      0.328	      0.000	         0.000	         0.013	      0.734	      0.774	      0.740	      0.665
       591	   84100000	     forest	      0.154	        85.850	      0.412	     10.131	      0.000	      3.082	      0.367	      0.000	         0.005	         0.007	      0.741	      0.772	      0.699	      0.605
       592	   84520000	     forest	      0.028	        91.086	      0.331	      6.719	      0.000	      1.722	      0.114	      0.000	         0.001	         0.005	      0.736	      0.759	      0.665	      0.573
       593	   84551000	     forest	      0.152	        76.350	      2.263	     16.346	      0.000	      4.537	      0.351	      0.000	         0.001	         0.035	      0.747	      0.764	      0.826	      0.778
       594	   84580000	     forest	      0.220	        75.832	      1.921	     16.397	      0.000	      4.762	      0.850	      0.000	         0.019	         0.114	      0.704	      0.729	      0.653	      0.563
       595	   84600000	     forest	      0.184	        80.540	      0.821	     14.148	      0.000	      4.047	      0.259	      0.000	         0.001	         0.036	      0.721	      0.745	      0.659	      0.568
       596	   84853000	     forest	      0.106	        69.575	      8.406	     17.400	      0.000	      4.268	      0.244	      0.000	         0.001	         1.050	      0.708	      0.728	      0.618	      0.535
       597	   85400000	      crops	      0.223	        23.342	     53.422	     15.292	      0.000	      5.390	      0.747	      0.000	         1.584	         0.918	      0.744	      0.770	      0.837	      0.784
       598	   85438000	     forest	      0.382	        35.287	     24.193	     29.517	      0.000	      8.199	      1.808	      0.000	         0.614	         3.979	      0.816	      0.852	      0.848	      0.787
       599	   85480000	      grass	      0.274	        25.360	     18.701	     42.450	      0.000	     12.123	      0.481	      0.000	         0.610	         1.386	      0.809	      0.834	      0.806	      0.758
       600	   85900000	      crops	      0.291	        29.216	     31.782	     28.529	      0.000	      8.462	      0.736	      0.000	         0.983	         2.002	      0.626	      0.655	      0.513	      0.416
       601	   86100000	     forest	      0.045	        63.498	      1.950	     26.201	      0.000	      8.162	      0.109	      0.000	         0.035	         0.169	      0.667	      0.669	      0.703	      0.695
       602	   86160000	     forest	      0.034	        47.040	      2.695	     38.424	      0.000	     11.591	      0.108	      0.000	         0.108	         0.174	      0.714	      0.759	      0.769	      0.716
       603	   86410000	      crops	      0.086	        34.593	     37.799	     19.431	      0.000	      7.918	      0.119	      0.000	         0.053	         0.192	      0.661	      0.688	      0.568	      0.500
       604	   86420000	      crops	      0.107	        32.555	     42.510	     16.750	      0.000	      7.837	      0.199	      0.000	         0.042	         0.209	      0.644	      0.680	      0.552	      0.473
       605	   86480000	     forest	      0.150	        41.247	     30.817	     18.957	      0.000	      7.834	      0.969	      0.000	         0.026	         0.125	      0.657	      0.672	      0.564	      0.466
       606	   86500000	     forest	      0.145	        44.370	     27.377	     19.052	      0.000	      7.886	      1.107	      0.000	         0.063	         0.256	      0.568	      0.613	      0.492	      0.419
       607	   86510000	     forest	      0.090	        52.973	     13.594	     23.652	      0.000	      8.383	      1.098	      0.000	         0.209	         0.286	      0.610	      0.646	      0.525	      0.448
       608	   86560000	     forest	      0.117	        44.524	     30.139	     16.687	      0.000	      7.231	      1.042	      0.000	         0.259	         0.219	      0.635	      0.660	      0.554	      0.466
       609	   86580000	     forest	      0.121	        48.046	     26.573	     17.013	      0.000	      7.077	      0.952	      0.000	         0.219	         0.253	      0.625	      0.631	      0.533	      0.418
       610	   86700000	     forest	      0.073	        73.896	      3.383	     16.615	      0.000	      5.228	      0.753	      0.000	         0.051	         0.099	      0.686	      0.736	      0.718	      0.652
       611	   86745000	     forest	      0.047	        64.744	      8.692	     19.686	      0.000	      6.379	      0.415	      0.000	         0.036	         0.161	      0.559	      0.599	      0.445	      0.385
       612	   87170000	     forest	      0.106	        64.285	      2.419	     23.006	      0.000	      7.070	      2.735	      0.000	         0.380	         0.309	      0.619	      0.647	      0.501	      0.423
       613	   87380000	     forest	      0.153	        70.202	      1.630	     19.459	      0.000	      5.631	      2.890	      0.000	         0.035	         1.397	      0.693	      0.734	      0.540	      0.475
       614	   87382000	     forest	      0.174	        67.782	      1.611	     19.563	      0.000	      5.716	      5.112	      0.000	         0.042	         1.402	      0.695	      0.734	      0.552	      0.485
       615	   87450100	      urban	      0.443	        31.657	      0.180	     12.492	      0.000	      5.614	     49.613	      0.000	         0.000	         0.940	      0.671	      0.726	      0.727	      0.664
       616	   88575000	     forest	      0.032	        50.012	      1.554	     36.070	      0.000	     12.190	      0.141	      0.000	         0.003	         0.033	      0.687	      0.721	      0.534	      0.467
       617	   88750000	     forest	      0.132	        48.485	      4.678	     34.931	      0.000	     11.677	      0.091	      0.000	         0.006	         0.066	      0.670	      0.700	      0.511	      0.441
       618	   88850000	     forest	      0.121	        47.565	      5.114	     35.259	      0.000	     11.713	      0.225	      0.000	         0.003	         0.038	      0.684	      0.729	      0.521	      0.445
       619	   12400000	     forest	      0.000	        99.979	      0.000	      0.019	      0.000	      0.002	      0.000	      0.000	         0.000	         0.001	      0.665	      0.702	      0.483	      0.407
       620	   20200000	      grass	      0.314	        25.131	     16.941	     44.941	      0.000	     12.053	      0.533	      0.000	         0.087	         0.141	      0.688	      0.735	      0.733	      0.651
       621	   21300000	      grass	      0.380	        19.242	      8.648	     42.987	      0.000	     28.424	      0.115	      0.000	         0.204	         0.065	      0.680	      0.662	      0.475	      0.365
       622	   21560000	      grass	      0.117	        30.251	     11.806	     32.689	      0.000	     24.916	      0.115	      0.000	         0.106	         0.058	      0.675	      0.662	      0.490	      0.386
       623	   22050001	      grass	      0.319	        28.579	      8.683	     37.850	      0.000	     23.376	      0.181	      0.000	         1.011	         0.300	      0.679	      0.666	      0.482	      0.375
       624	   22500000	      grass	      0.254	        30.300	      7.665	     37.266	      0.000	     23.182	      0.214	      0.000	         1.119	         0.272	      0.675	      0.630	      0.479	      0.376
       625	   25100000	     forest	      0.209	        39.664	      4.809	     37.404	      0.000	     15.732	      2.179	      0.000	         0.003	         0.014	      0.646	      0.692	      0.540	      0.481
       626	   26040000	      crops	      0.165	        16.666	     59.263	     14.977	      0.000	      8.601	      0.299	      0.000	         0.029	         0.084	      0.635	      0.680	      0.528	      0.467
       627	   31490000	     forest	      0.103	        44.065	      0.302	     39.696	      0.000	     15.701	      0.115	      0.000	         0.019	         0.035	      0.702	      0.747	      0.783	      0.709
       628	   31520000	     forest	      0.119	        45.311	      0.272	     38.507	      0.000	     15.576	      0.201	      0.000	         0.015	         0.059	      0.630	      0.676	      0.520	      0.457
       629	   31600000	      grass	      0.350	        25.807	      0.769	     51.724	      0.000	     21.139	      0.211	      0.000	         0.000	         0.000	      0.646	      0.698	      0.544	      0.484
       630	   32400000	     forest	      0.057	        63.798	      0.027	     26.645	      0.000	      9.338	      0.134	      0.000	         0.000	         0.002	      0.635	      0.687	      0.526	      0.462
       631	   33075000	     forest	      0.084	        71.419	      1.976	     18.189	      0.000	      8.322	      0.010	      0.000	         0.000	         0.005	      0.662	      0.699	      0.520	      0.456
       632	   34660000	      shrub	      0.125	        26.339	      5.755	     30.175	      0.000	     37.368	      0.083	      0.000	         0.154	         0.067	      0.694	      0.666	      0.484	      0.361
       633	   40040000	      grass	      0.754	        25.049	     16.718	     41.178	      0.000	     16.042	      0.256	      0.000	         0.002	         0.049	      0.633	      0.684	      0.513	      0.437
       634	   40053000	     forest	      0.297	        39.125	     11.740	     33.935	      0.000	     13.432	      1.461	      0.000	         0.010	         0.050	      0.706	      0.751	      0.774	      0.699
       635	   40060001	     forest	      0.362	        46.872	      3.944	     34.702	      0.000	     13.992	      0.127	      0.000	         0.002	         0.016	      0.637	      0.651	      0.509	      0.406
       636	   40150000	      grass	      0.413	        35.465	      5.776	     43.262	      0.000	     13.898	      0.691	      0.000	         0.494	         0.355	      0.630	      0.647	      0.512	      0.424
       637	   40170000	      grass	      0.371	        39.509	      5.992	     40.027	      0.000	     13.430	      0.646	      0.000	         0.027	         0.115	      0.629	      0.661	      0.517	      0.442
       638	   40185000	      grass	      0.342	        38.620	      6.676	     40.328	      0.000	     13.174	      0.838	      0.000	         0.022	         0.095	      0.657	      0.641	      0.501	      0.392
       639	   40269900	      grass	      0.460	        37.216	      6.969	     37.723	      0.000	     13.863	      3.295	      0.000	         0.474	         0.567	      0.642	      0.652	      0.506	      0.416
       640	   40300001	      grass	      0.419	        34.636	      9.083	     39.331	      0.000	     13.395	      3.025	      0.000	         0.112	         0.209	      0.644	      0.658	      0.511	      0.423
       641	   40330000	      grass	      0.391	        35.392	      7.111	     41.078	      0.000	     13.728	      2.098	      0.000	         0.202	         0.263	      0.707	      0.747	      0.692	      0.633
       642	   40500000	      grass	      0.429	        26.955	     13.039	     42.377	      0.000	     16.246	      0.947	      0.000	         0.006	         0.033	      0.713	      0.769	      0.730	      0.665
       643	   40530000	      grass	      0.538	        23.849	      7.992	     47.323	      0.000	     19.681	      0.616	      0.000	         0.001	         0.048	      0.720	      0.766	      0.709	      0.648
       644	   40680000	      grass	      0.569	        33.039	     10.098	     40.699	      0.000	     15.245	      0.337	      0.000	         0.012	         0.051	      0.704	      0.755	      0.742	      0.668
       645	   40740000	      grass	      0.715	        35.448	      5.323	     41.214	      0.000	     15.225	      1.959	      0.000	         0.116	         0.233	      0.709	      0.752	      0.674	      0.614
       646	   40800001	      grass	      0.842	        35.322	      5.389	     39.084	      0.000	     14.837	      4.312	      0.000	         0.215	         0.344	      0.669	      0.696	      0.598	      0.542
       647	   40810350	     forest	      0.095	        45.624	      3.582	     38.847	      0.000	     11.851	      0.000	      0.000	         0.000	         0.000	      0.639	      0.672	      0.575	      0.517
       648	   40810800	     forest	      0.776	        44.282	      5.718	     36.430	      0.000	     12.735	      0.057	      0.000	         0.002	         0.025	      0.678	      0.713	      0.624	      0.566
       649	   40811100	     forest	      1.087	        41.128	      6.995	     37.031	      0.000	     13.279	      0.474	      0.000	         0.004	         0.035	      0.643	      0.669	      0.566	      0.510
       650	   40823500	     forest	      0.483	        40.575	      5.647	     33.094	      0.000	     14.270	      5.904	      0.000	         0.027	         0.122	      0.636	      0.662	      0.560	      0.501
       651	   40850000	      grass	      0.740	        34.768	      6.766	     39.313	      0.000	     14.857	      3.378	      0.000	         0.179	         0.425	      0.677	      0.715	      0.635	      0.563
       652	   40930000	     forest	      0.468	        38.295	      6.509	     38.272	      0.000	     16.309	      0.146	      0.000	         0.001	         0.031	      0.652	      0.691	      0.605	      0.534
       653	   40975000	      grass	      1.234	        18.482	      4.916	     49.681	      0.000	     25.595	      0.092	      0.000	         0.001	         0.061	      0.669	      0.712	      0.615	      0.543
       654	   41050000	      grass	      0.633	        22.937	     11.145	     49.218	      0.000	     15.940	      0.118	      0.000	         0.009	         0.037	      0.632	      0.667	      0.567	      0.494
       655	   41135000	      grass	      0.964	        26.992	      8.636	     42.928	      0.000	     18.616	      0.993	      0.000	         0.871	         0.556	      0.647	      0.684	      0.589	      0.519
       656	   41199998	     forest	      1.966	        46.041	      1.042	     33.128	      0.000	     15.616	      1.941	      0.000	         0.266	         0.408	      0.613	      0.632	      0.549	      0.466
       657	   41260000	     forest	      1.265	        39.315	      2.442	     28.157	      0.000	     14.286	     14.332	      0.000	         0.203	         0.344	      0.642	      0.675	      0.577	      0.509
       658	   41380000	      grass	      0.936	        24.740	      2.852	     47.980	      0.000	     22.963	      0.528	      0.000	         0.000	         0.064	      0.644	      0.675	      0.581	      0.515
       659	   41410000	     forest	      0.959	        36.309	      3.741	     33.703	      0.000	     16.333	      8.816	      0.000	         0.139	         0.347	      0.680	      0.707	      0.616	      0.543
       660	   41440005	      grass	      0.632	        23.889	      9.326	     35.351	      0.000	     16.453	     14.230	      0.000	         0.118	         0.489	      0.662	      0.723	      0.704	      0.631
       661	   41685000	      grass	      1.062	        23.446	     11.214	     44.504	      0.000	     19.758	      0.015	      0.000	         0.001	         0.064	      0.769	      0.815	      0.789	      0.735
       662	   41780002	      grass	      2.147	        23.316	      1.616	     46.652	      0.000	     26.047	      0.170	      0.000	         0.053	         0.096	      0.734	      0.781	      0.734	      0.673
       663	   41890000	      grass	      1.062	        19.167	      3.595	     48.004	      0.000	     28.026	      0.146	      0.000	         0.000	         0.007	      0.696	      0.742	      0.716	      0.648
       664	   42187000	      grass	      0.913	        23.657	      4.444	     46.025	      0.000	     24.903	      0.053	      0.000	         0.004	         0.015	      0.739	      0.772	      0.671	      0.618
       665	   42250000	      grass	      0.679	        20.049	     19.526	     40.492	      0.000	     19.188	      0.057	      0.000	         0.008	         0.048	      0.722	      0.756	      0.664	      0.613
       666	   42257000	      grass	      0.431	        22.904	     17.047	     37.911	      0.000	     21.625	      0.020	      0.000	         0.063	         0.124	      0.763	      0.794	      0.720	      0.676
       667	   42365000	      grass	      0.398	        25.461	      7.261	     42.359	      0.000	     24.322	      0.173	      0.000	         0.025	         0.186	      0.737	      0.764	      0.660	      0.620
       668	   42435000	      grass	      0.384	        23.953	     11.609	     39.960	      0.000	     23.933	      0.007	      0.000	         0.153	         0.171	      0.722	      0.739	      0.603	      0.579
       669	   42460000	      crops	      0.976	        12.921	     35.346	     32.859	      0.000	     16.731	      0.636	      0.000	         0.531	         0.525	      0.707	      0.718	      0.584	      0.559
       670	   42490000	      grass	      0.981	        14.863	     28.922	     35.453	      0.000	     18.676	      0.561	      0.000	         0.545	         0.426	      0.717	      0.736	      0.604	      0.574
       671	   42546000	      grass	      1.477	        16.673	     11.874	     45.228	      0.000	     24.481	      0.244	      0.000	         0.022	         0.052	      0.727	      0.772	      0.712	      0.653
       672	   42840000	      grass	      0.747	        19.833	     21.853	     37.732	      0.000	     19.760	      0.054	      0.000	         0.021	         0.060	      0.689	      0.725	      0.632	      0.573
       673	   42860000	      grass	      0.527	        21.172	      5.943	     44.897	      0.000	     27.399	      0.024	      0.000	         0.038	         0.186	      0.719	      0.745	      0.642	      0.588
       674	   45170001	      grass	      0.130	        13.377	      2.264	     44.035	      0.000	     40.193	      0.002	      0.000	         0.000	         0.001	      0.674	      0.686	      0.577	      0.513
       675	   45590000	      grass	      0.152	        14.190	     24.433	     31.096	      0.000	     30.086	      0.044	      0.000	         0.000	         0.000	      0.693	      0.706	      0.610	      0.546
       676	   45740001	      grass	      0.203	        20.674	     16.454	     32.247	      0.000	     30.381	      0.015	      0.000	         0.026	         0.010	      0.701	      0.720	      0.614	      0.559
       677	   45770000	      grass	      0.142	        11.422	     20.543	     35.193	      0.000	     32.664	      0.035	      0.000	         0.000	         0.004	      0.692	      0.711	      0.598	      0.548
       678	   45880000	      grass	      0.190	        14.083	      9.654	     39.928	      0.000	     36.102	      0.032	      0.000	         0.010	         0.008	      0.727	      0.730	      0.818	      0.802
       679	   46415000	      grass	      0.247	        15.679	     27.337	     30.232	      0.000	     26.487	      0.018	      0.000	         0.000	         0.003	      0.681	      0.746	      0.754	      0.662
       680	   46455000	      crops	      0.197	         9.356	     45.806	     25.151	      0.000	     19.423	      0.054	      0.000	         0.013	         0.016	      0.725	      0.747	      0.626	      0.567
       681	   46490000	      grass	      0.104	        27.996	      5.654	     34.323	      0.000	     31.884	      0.031	      0.000	         0.008	         0.074	      0.683	      0.714	      0.599	      0.546
       682	   46543000	      grass	      0.250	        13.118	     27.082	     32.967	      0.000	     26.349	      0.234	      0.000	         0.000	         0.005	      0.693	      0.725	      0.614	      0.559
       683	   46570000	      crops	      0.443	         6.175	     57.624	     20.716	      0.000	     14.907	      0.049	      0.000	         0.086	         0.093	      0.654	      0.689	      0.540	      0.491
